# tau(fm)  ecc_1  ecc_2  ecc_3  ecc_4  ecc_5  ecc_6
    1.80000000e+00  1.40982707e-04  1.23608553e-01  1.47148480e-04  1.32639357e-01  1.93809220e-04  4.47604831e-02  
    1.82500000e+00  1.40264442e-04  1.23247889e-01  1.46778216e-04  1.32088885e-01  1.92081801e-04  4.44570738e-02  
    1.85000000e+00  1.39538820e-04  1.22883354e-01  1.46391260e-04  1.31529548e-01  1.90353883e-04  4.41510739e-02  
    1.87500000e+00  1.38788810e-04  1.22515027e-01  1.45980709e-04  1.30961557e-01  1.88559839e-04  4.38425677e-02  
    1.90000000e+00  1.38022781e-04  1.22143008e-01  1.45549718e-04  1.30385148e-01  1.86755254e-04  4.35318915e-02  
    1.92500000e+00  1.37237449e-04  1.21767388e-01  1.45102033e-04  1.29800546e-01  1.84917268e-04  4.32190034e-02  
    1.95000000e+00  1.36424608e-04  1.21388267e-01  1.44638858e-04  1.29207976e-01  1.83044037e-04  4.29039629e-02  
    1.97500000e+00  1.35613432e-04  1.21005745e-01  1.44170543e-04  1.28607664e-01  1.81245212e-04  4.25868958e-02  
    2.00000000e+00  1.34775621e-04  1.20619941e-01  1.43674637e-04  1.27999799e-01  1.79441572e-04  4.22678756e-02  
    2.02500000e+00  1.33924369e-04  1.20230960e-01  1.43181610e-04  1.27384537e-01  1.77639406e-04  4.19469604e-02  
    2.05000000e+00  1.33083984e-04  1.19838888e-01  1.42673125e-04  1.26762084e-01  1.75838615e-04  4.16242329e-02  
    2.07500000e+00  1.32224969e-04  1.19443819e-01  1.42184571e-04  1.26132668e-01  1.74081963e-04  4.12998454e-02  
    2.10000000e+00  1.31357525e-04  1.19045834e-01  1.41690982e-04  1.25496491e-01  1.72303290e-04  4.09738488e-02  
    2.12500000e+00  1.30482611e-04  1.18645021e-01  1.41218508e-04  1.24853750e-01  1.70524602e-04  4.06466021e-02  
    2.15000000e+00  1.29606855e-04  1.18241469e-01  1.40745178e-04  1.24204653e-01  1.68748351e-04  4.03180627e-02  
    2.17500000e+00  1.28725398e-04  1.17835266e-01  1.40272170e-04  1.23549305e-01  1.66897732e-04  3.99885294e-02  
    2.20000000e+00  1.27842087e-04  1.17426486e-01  1.39807106e-04  1.22887889e-01  1.65065244e-04  3.96581186e-02  
    2.22500000e+00  1.26955332e-04  1.17015192e-01  1.39340614e-04  1.22220705e-01  1.63243266e-04  3.93268612e-02  
    2.25000000e+00  1.26081986e-04  1.16601418e-01  1.38912931e-04  1.21548134e-01  1.61479551e-04  3.89947222e-02  
    2.27500000e+00  1.25177416e-04  1.16185310e-01  1.38449698e-04  1.20870430e-01  1.59773333e-04  3.86621599e-02  
    2.30000000e+00  1.24279415e-04  1.15766946e-01  1.38019786e-04  1.20187693e-01  1.58011438e-04  3.83290885e-02  
    2.32500000e+00  1.23359299e-04  1.15346411e-01  1.37597123e-04  1.19500029e-01  1.56203187e-04  3.79958151e-02  
    2.35000000e+00  1.22442409e-04  1.14923768e-01  1.37185323e-04  1.18807744e-01  1.54437091e-04  3.76626335e-02  
    2.37500000e+00  1.21488771e-04  1.14499106e-01  1.36723859e-04  1.18111294e-01  1.52752440e-04  3.73295860e-02  
    2.40000000e+00  1.20526937e-04  1.14072574e-01  1.36236839e-04  1.17411042e-01  1.51135655e-04  3.69963489e-02  
    2.42500000e+00  1.19573004e-04  1.13644227e-01  1.35785640e-04  1.16706987e-01  1.49389582e-04  3.66629098e-02  
    2.45000000e+00  1.18626385e-04  1.13214129e-01  1.35302000e-04  1.15998381e-01  1.47627130e-04  3.63291267e-02  
    2.47500000e+00  1.17677144e-04  1.12782329e-01  1.34824832e-04  1.15285819e-01  1.45859889e-04  3.59951749e-02  
    2.50000000e+00  1.16704723e-04  1.12348897e-01  1.34350306e-04  1.14569792e-01  1.44235675e-04  3.56614720e-02  
    2.52500000e+00  1.15752496e-04  1.11913988e-01  1.33903267e-04  1.13850632e-01  1.42604150e-04  3.53282942e-02  
    2.55000000e+00  1.14813083e-04  1.11477666e-01  1.33445304e-04  1.13128418e-01  1.41002719e-04  3.49952498e-02  
    2.57500000e+00  1.13867445e-04  1.11040013e-01  1.32962454e-04  1.12403326e-01  1.39436102e-04  3.46624881e-02  
    2.60000000e+00  1.12895962e-04  1.10601134e-01  1.32493380e-04  1.11675414e-01  1.37905167e-04  3.43297343e-02  
    2.62500000e+00  1.11932965e-04  1.10161003e-01  1.32027238e-04  1.10944726e-01  1.36315347e-04  3.39973839e-02  
    2.65000000e+00  1.10950270e-04  1.09719572e-01  1.31517195e-04  1.10210666e-01  1.34640293e-04  3.36658375e-02  
    2.67500000e+00  1.09957638e-04  1.09277137e-01  1.31034676e-04  1.09473583e-01  1.33003094e-04  3.33346400e-02  
    2.70000000e+00  1.08978897e-04  1.08833820e-01  1.30563483e-04  1.08733877e-01  1.31382222e-04  3.30038316e-02  
    2.72500000e+00  1.08014310e-04  1.08389632e-01  1.30059859e-04  1.07992098e-01  1.29848696e-04  3.26739655e-02  
    2.75000000e+00  1.07068360e-04  1.07944602e-01  1.29619788e-04  1.07248439e-01  1.28219999e-04  3.23445506e-02  
    2.77500000e+00  1.06090700e-04  1.07498751e-01  1.29140663e-04  1.06503075e-01  1.26680669e-04  3.20159046e-02  
    2.80000000e+00  1.05120859e-04  1.07052153e-01  1.28694623e-04  1.05756136e-01  1.25169495e-04  3.16878193e-02  
    2.82500000e+00  1.04163083e-04  1.06604739e-01  1.28241451e-04  1.05007407e-01  1.23521736e-04  3.13612141e-02  
